ID,SMILES
S1185,CC(C)C(NC(=O)N(C)CC1=CSC(=N1)C(C)C)C(=O)NC(CC(O)C(CC2=CC=CC=C2)NC(=O)OCC3=CN=CS3)CC4=CC=CC=C4
S1188,CC(C)(C#N)C1=CC(=CC(=C1)C[N]2C=NC=N2)C(C)(C)C#N
S1189,CC(OC1OCCN(CC2=NNC(=O)N2)C1C3=CC=C(F)C=C3)C4=CC(=CC(=C4)C(F)(F)F)C(F)(F)F
S1190,CC(O)(C[S](=O)(=O)C1=CC=C(F)C=C1)C(=O)NC2=CC=C(C#N)C(=C2)C(F)(F)F
S1191,CC12CCC3C(C(CCCCCCCCC[S](=O)CCCC(F)(F)C(F)(F)F)CC4=C3C=CC(=C4)O)C1CCC2O
S1192,CN(CC1=CC2=C(C=C1)N=C(C)NC2=O)C3=CC=C(S3)C(=O)NC(CCC(O)=O)C(O)=O
S1193,O=C1CCC(N2C(=O)C3=C(C=CC=C3)C2=O)C(=O)N1
S1196,CC12CCC3C(CC(=C)C4=CC(=O)C=CC34C)C1CCC2=O
S1197,CC(C)(C)NC(=O)C1CCC2C3CCC4NC(=O)C=CC4(C)C3CCC12C
S1199,NC1=NC(=NC2=C1N=C[N]2C3CC(O)C(CO)O3)Cl
S1200,NC1=NC(=O)N(C=N1)C2CC(O)C(CO)O2
S1202,CC12CCC3C(CCC4NC(=O)C=CC34C)C1CCC2C(=O)NC5=CC(=CC=C5C(F)(F)F)C(F)(F)F
S1204,COC1=CC2=C([NH]C=C2CCNC(C)=O)C=C1
S1206,CC(C)NCC(O)COC1=CC=C(COCCOC(C)C)C=C1.OC(=O)\C=C\C(O)=O
S1207,COC1=CC2=C(C=C1OC)C(=CC=N2)OC3=CC=C(NC(=O)NC4=NOC(=C4)C)C(=C3)Cl
S1208,Cl.COC1=C2C(=O)C3=C(C(=C4CC(O)(CC(OC5CC(N)C(O)C(C)O5)C4=C3O)C(=O)CO)O)C(=O)C2=CC=C1
S1209,FC1=CNC(=O)NC1=O
S1210,CN(CC1=NC2=C(N)N=C(N)N=C2N=C1)C3=CC=C(C=C3)C(=O)NC(CCC(O)=O)C(O)=O
S1212,Cl.C[N]1C(=NC2=CC(=CC=C12)N(CCCl)CCCl)CCCC(O)=O
S1213,COC1=NC(=NC2=C1N=C[N]2C3OC(CO)C(O)C3O)N
