Ligand,Affinity,RMSD Ligand,RMSD Receptor,H_bond,D_bond
S2370_out_7,-8.7,4.994,9.058,0,26
S2370_out_8,-8.5,3.982,9.796,0,18
S2370_out_9,-8.5,4.975,9.373,0,16
S2370_out_10,-8.3,2.454,4.082,0,34
S2376_out_1,-10.2,0.0,0.0,5,22
S2376_out_2,-9.6,1.715,2.842,4,21
S2376_out_3,-9.2,1.951,3.983,5,20
S2376_out_4,-9.2,2.809,5.334,4,26
S2376_out_5,-9.2,1.087,1.667,3,16
S2376_out_6,-9.1,1.986,2.984,3,20
S2376_out_7,-8.9,3.476,4.968,6,27
S2376_out_8,-8.9,4.063,7.794,6,29
S2376_out_9,-8.6,2.442,4.309,3,19
S2376_out_10,-8.6,4.063,6.729,5,20
S3616_out_1,-9.0,0.0,0.0,4,23
S3616_out_2,-8.6,2.249,4.514,3,26
S3616_out_3,-8.4,3.312,10.097,2,21
S3616_out_4,-8.4,1.593,2.764,7,25
S3616_out_5,-8.3,3.31,6.624,8,25
S3616_out_6,-8.3,4.57,8.476,6,24
S3616_out_7,-8.2,1.584,3.586,7,27
S3616_out_8,-8.2,4.521,8.642,7,28
S3616_out_9,-8.1,4.172,7.96,5,35
S3616_out_10,-8.1,4.247,7.743,8,20
S3622_out_1,-9.7,0.0,0.0,5,20
S3622_out_2,-9.5,4.005,11.82,3,23
S3622_out_3,-9.3,4.227,7.148,4,20
S3622_out_4,-9.3,2.282,5.521,0,22
S3622_out_5,-9.1,0.896,2.119,3,22
S3622_out_6,-9.1,4.102,14.678,5,34
S3622_out_7,-9.1,3.031,5.567,2,20
S3622_out_8,-8.9,2.829,5.786,4,10
S3622_out_9,-8.9,2.151,4.378,3,21
S3622_out_10,-8.8,4.18,11.437,5,13
S3728_out_1,-8.8,0.0,0.0,5,34
S3728_out_2,-8.7,2.823,6.293,1,32
S3728_out_3,-8.4,5.805,10.752,1,25
S3728_out_4,-8.3,8.831,14.608,1,20
S3728_out_5,-8.2,8.41,12.867,2,26
S3728_out_6,-8.0,2.928,6.448,1,28
S3728_out_7,-8.0,4.108,8.51,0,24
S3728_out_8,-7.9,3.012,6.37,2,32
S3728_out_9,-7.8,8.73,14.645,2,20
S3728_out_10,-7.7,8.845,13.311,0,29
S3785_out_1,-8.5,0.0,0.0,4,26
S3785_out_2,-8.1,2.258,10.137,10,27
S3785_out_3,-8.1,1.793,2.911,8,28
S3785_out_4,-8.0,1.828,3.883,7,36
S3785_out_5,-8.0,2.361,9.602,10,26
S3785_out_6,-7.9,3.197,6.121,5,19
S3785_out_7,-7.9,1.771,3.487,5,23
S3785_out_8,-7.8,3.335,10.55,7,32
S3785_out_9,-7.8,2.55,6.256,6,16
S3785_out_10,-7.8,1.69,2.768,2,34
S3811_out_1,-9.1,0.0,0.0,10,24
S3811_out_2,-9.0,1.072,1.674,6,19
S3811_out_3,-8.8,2.663,11.03,6,35
S3811_out_4,-8.8,2.961,11.132,4,38
S3811_out_5,-8.8,1.279,2.255,6,19
S3811_out_6,-8.7,2.083,5.233,7,32
S3811_out_7,-8.7,4.642,10.688,6,22
S3811_out_8,-8.6,1.93,2.866,5,18
S3811_out_9,-8.4,2.348,10.894,4,17
S3811_out_10,-8.3,2.201,5.327,2,24
S3843_out_1,-8.3,0.0,0.0,8,22
S3843_out_2,-8.2,5.13,10.761,9,30
S3843_out_3,-8.1,1.547,2.494,13,21
S3843_out_4,-8.0,6.078,12.41,1,28
S3843_out_5,-8.0,5.379,10.563,10,22
S3843_out_6,-8.0,4.008,8.406,10,7
S3843_out_7,-8.0,5.209,11.681,8,15
S3843_out_8,-7.9,1.387,2.04,12,16
S3843_out_9,-7.9,4.468,9.687,5,23
