Ligand,Affinity,RMSD Ligand,RMSD Receptor,H_bond,D_bond
S1284_out_6,-7.1,2.133,6.365,3,24
S1284_out_7,-7.0,9.387,11.541,2,22
S1284_out_8,-6.6,4.508,8.811,2,28
S1284_out_9,-6.5,2.213,6.023,3,27
S1344_out_1,-8.7,0.0,0.0,2,27
S1344_out_2,-8.3,14.489,17.262,6,20
S1344_out_3,-7.9,11.716,13.555,5,22
S1344_out_4,-7.8,13.303,16.189,2,16
S1344_out_5,-7.7,7.373,8.4,2,17
S1344_out_6,-7.7,38.774,42.909,5,20
S1344_out_7,-7.5,15.922,17.887,3,18
S1344_out_8,-7.4,14.96,17.011,2,15
S1344_out_9,-7.4,16.072,17.828,1,23
S1373_out_1,-7.4,0.0,0.0,6,6
S1373_out_2,-7.4,11.198,12.49,3,13
S1373_out_3,-7.1,11.083,12.305,1,11
S1373_out_4,-7.0,2.434,6.602,3,9
S1373_out_5,-6.9,2.983,6.409,3,9
S1373_out_6,-6.9,2.043,2.619,4,4
S1373_out_7,-6.8,2.071,6.489,3,10
S1373_out_8,-6.5,2.823,4.214,3,1
S1373_out_9,-6.5,2.664,4.063,3,13
S1374_out_1,-6.3,0.0,0.0,9,9
S1374_out_2,-6.3,27.633,28.655,4,14
S1374_out_3,-6.2,21.28,22.451,4,11
S1374_out_4,-6.1,2.915,3.602,10,7
S1374_out_5,-6.1,24.816,25.681,3,10
S1374_out_6,-6.0,2.82,3.704,8,8
S1374_out_7,-5.9,28.152,31.926,1,9
S1374_out_8,-5.9,13.157,14.791,5,9
S1374_out_9,-5.9,24.623,26.756,5,8
S1381_out_1,-7.2,0.0,0.0,4,15
S1381_out_2,-7.1,4.023,5.951,6,12
S1381_out_3,-6.8,3.583,5.245,5,7
S1381_out_4,-6.6,17.433,21.163,4,13
S1381_out_5,-6.5,9.093,11.736,3,11
S1381_out_6,-6.2,29.149,31.397,3,10
S1381_out_7,-6.1,18.007,21.272,3,11
S1381_out_8,-6.1,17.902,21.394,8,6
S1381_out_9,-5.9,31.242,33.057,2,13
S1397_out_1,-7.3,0.0,0.0,0,20
S1397_out_2,-7.1,0.89,2.009,3,21
S1397_out_3,-7.0,34.336,38.155,0,23
S1397_out_4,-6.9,21.446,26.701,0,14
S1397_out_5,-6.9,27.336,32.062,0,28
S1397_out_6,-6.6,20.73,25.87,2,16
S1397_out_7,-6.6,33.291,37.064,0,12
S1397_out_8,-6.5,27.295,30.414,3,23
S1397_out_9,-6.4,5.99,9.672,1,14
S1405_out_1,-7.6,0.0,0.0,0,27
S1405_out_2,-7.4,18.552,24.674,5,14
S1405_out_3,-7.2,29.182,33.221,3,22
S1405_out_4,-7.0,29.051,32.45,1,23
S1405_out_5,-7.0,29.624,33.302,0,14
S1405_out_6,-6.9,18.319,22.881,1,16
S1405_out_7,-6.9,27.135,30.828,1,24
S1405_out_8,-6.8,27.467,30.806,1,24
S1405_out_9,-6.7,18.3,24.038,1,12
S1465_out_1,-7.5,0.0,0.0,1,16
S1465_out_2,-7.3,3.279,7.302,1,11
S1465_out_3,-7.3,1.484,2.178,0,10
S1465_out_4,-7.2,2.921,7.078,4,11
S1465_out_5,-7.1,10.638,13.089,1,14
S1465_out_6,-6.8,4.056,5.763,4,17
S1465_out_7,-6.6,19.116,22.155,1,12
S1465_out_8,-6.6,3.454,7.964,3,12
S1465_out_9,-6.6,27.72,29.879,1,21
S1499_out_1,-7.7,0.0,0.0,3,12
S1499_out_2,-7.2,2.324,2.9,3,10
S1499_out_3,-7.1,2.167,3.371,5,13
S1499_out_4,-6.9,9.393,10.598,2,13
S1499_out_5,-6.9,2.617,3.36,2,13
S1499_out_6,-6.9,17.489,21.331,6,16
S1499_out_7,-6.8,2.385,3.559,4,13
S1499_out_8,-6.7,3.734,7.578,0,13
S1499_out_9,-6.6,15.958,17.186,7,8
S1514_out_1,-7.5,0.0,0.0,1,43
S1514_out_2,-7.3,32.475,38.246,0,24
S1514_out_3,-6.9,18.502,24.894,5,35
S1514_out_4,-6.8,19.69,26.926,1,23
S1514_out_5,-6.8,20.287,27.548,3,21
S1514_out_6,-6.7,2.306,11.192,1,20
S1514_out_7,-6.6,32.749,38.436,2,19
S1514_out_8,-6.6,21.864,25.516,0,27
S1514_out_9,-6.4,12.462,20.571,4,32
S1526_out_1,-8.3,0.0,0.0,0,21
S1526_out_2,-8.1,4.056,15.682,2,20
S1526_out_3,-7.9,2.951,15.284,2,16
S1526_out_4,-7.8,3.891,14.718,2,19
S1526_out_5,-7.8,2.316,3.061,0,15
S1526_out_6,-7.8,24.028,28.977,2,35
S1526_out_7,-7.8,28.671,33.064,1,22
S1526_out_8,-7.7,28.581,32.984,0,25
S1526_out_9,-7.7,3.37,5.857,1,18
S1538_out_1,-7.8,0.0,0.0,5,21
S1538_out_2,-7.3,4.921,11.398,1,21
S1538_out_3,-6.9,22.236,27.145,2,30
S1538_out_4,-6.9,5.023,8.118,6,20
S1538_out_5,-6.8,21.749,28.44,4,24
S1538_out_6,-6.8,29.236,31.998,1,23
S1538_out_7,-6.8,5.221,9.057,5,15
S1538_out_8,-6.8,18.571,23.111,3,20
S1538_out_9,-6.8,31.572,36.315,2,31
S1540_out_1,-7.7,0.0,0.0,2,17
S1540_out_2,-7.2,2.406,3.463,4,14
S1540_out_3,-7.1,2.655,6.418,2,10
S1540_out_4,-7.1,2.774,6.495,4,14
S1540_out_5,-7.0,2.683,6.379,3,14
S1540_out_6,-6.8,3.291,6.328,3,17
S1540_out_7,-6.7,10.056,11.586,1,13
S1540_out_8,-6.7,13.373,14.749,1,17
S1540_out_9,-6.6,20.312,22.358,2,23
S1549_out_1,-8.6,0.0,0.0,2,14
S1549_out_2,-8.1,1.432,6.318,4,17
S1549_out_3,-7.9,2.419,3.569,2,15
S1549_out_4,-7.9,10.304,13.58,3,27
S1549_out_5,-7.8,3.183,6.182,3,13
S1549_out_6,-7.7,18.958,22.63,3,30
S1549_out_7,-7.5,18.781,22.462,2,29
S1549_out_8,-7.5,2.104,7.611,1,12
S1549_out_9,-7.3,19.054,22.422,0,24
S1620_out_1,-7.6,0.0,0.0,6,17
S1620_out_2,-7.5,16.907,21.266,3,33
S1620_out_3,-7.5,2.673,6.659,5,18
S1620_out_4,-7.5,17.288,21.401,4,34
S1620_out_5,-7.4,19.184,23.783,2,37
S1620_out_6,-7.2,27.584,30.695,5,22
S1620_out_7,-7.2,27.561,30.045,4,22
S1620_out_8,-7.1,18.762,22.892,2,33
S1620_out_9,-7.1,27.612,30.973,3,27
S1683_out_1,-7.2,0.0,0.0,2,24
S1683_out_2,-7.1,2.801,5.963,1,17
S1683_out_3,-6.8,9.929,11.395,2,15
S1683_out_4,-6.8,2.353,6.406,1,18
S1683_out_5,-6.7,18.162,21.723,2,26
S1683_out_6,-6.6,9.954,11.239,3,12
S1683_out_7,-6.5,2.222,6.562,1,15
S1683_out_8,-6.4,18.576,22.117,1,29
S1683_out_9,-6.3,4.626,8.888,1,10
S1715_out_1,-8.4,0.0,0.0,7,18
S1715_out_2,-8.3,5.049,10.78,4,21
S1715_out_3,-8.1,11.387,13.057,3,21
S1715_out_4,-8.1,8.337,14.176,1,25
S1715_out_5,-7.6,2.968,3.96,3,25
S1715_out_6,-7.6,10.099,16.56,2,23
S1715_out_7,-7.4,32.385,35.171,5,17
S1715_out_8,-7.3,30.206,32.301,4,19
S1715_out_9,-7.1,6.893,12.067,5,13
S1763_out_1,-6.9,0.0,0.0,3,23
S1763_out_2,-6.6,4.872,7.101,1,27
S1763_out_3,-6.4,41.044,43.6,2,23
S1763_out_4,-6.4,3.983,5.947,1,29
S1763_out_5,-6.3,28.008,30.834,3,7
S1763_out_6,-6.3,4.406,6.319,0,28
S1763_out_7,-6.3,14.904,18.069,0,21
S1763_out_8,-6.3,29.285,31.522,1,11
S1763_out_9,-6.1,26.781,29.166,2,9
S1768_out_1,-7.8,0.0,0.0,4,23
S1768_out_2,-7.8,1.758,2.664,4,20
S1768_out_3,-7.5,6.078,8.595,4,17
S1768_out_4,-7.5,3.266,5.953,1,20
S1768_out_5,-7.2,4.433,9.62,6,19
S1768_out_6,-7.2,9.511,11.095,4,15
S1768_out_7,-7.1,7.845,11.632,4,17
S1768_out_8,-7.0,4.107,10.346,6,16
S1768_out_9,-7.0,5.036,8.372,1,10
S1791_out_1,-7.2,0.0,0.0,4,32
S1791_out_2,-7.2,20.118,24.464,7,36
S1791_out_3,-7.1,18.847,23.404,5,28
S1791_out_4,-7.0,18.433,23.396,5,29
S1791_out_5,-7.0,19.449,24.368,4,22
S1791_out_6,-6.9,18.342,22.789,7,37
S1791_out_7,-6.9,1.461,2.62,1,41
S1791_out_8,-6.8,17.883,24.109,2,25
S1791_out_9,-6.8,31.937,37.489,9,21
S1793_out_1,-7.8,0.0,0.0,3,27
S1793_out_2,-7.8,2.654,6.648,5,21
S1793_out_3,-7.4,3.136,6.602,5,13
S1793_out_4,-7.4,3.3,6.613,3,17
S1793_out_5,-7.3,2.351,6.143,1,14
S1793_out_6,-7.1,2.557,6.806,5,23
S1793_out_7,-6.9,10.562,12.951,6,22
S1793_out_8,-6.7,2.18,5.337,2,10
S1793_out_9,-6.4,2.456,5.938,2,14
S1884_out_1,-8.1,0.0,0.0,5,21
S1884_out_2,-7.7,11.062,12.354,0,20
S1884_out_3,-7.4,3.146,6.899,3,12
S1884_out_4,-7.2,18.85,22.532,2,15
S1884_out_5,-7.1,3.37,6.836,1,9
S1884_out_6,-6.9,1.436,2.241,2,13
S1884_out_7,-6.8,19.46,22.126,5,19
S1884_out_8,-6.8,2.886,4.68,3,6
S1884_out_9,-6.7,3.64,7.752,1,10
S1888_out_1,-8.0,0.0,0.0,3,15
S1888_out_2,-7.8,2.777,7.701,2,10
S1888_out_3,-7.4,20.526,24.34,0,28
S1888_out_4,-7.0,20.665,24.373,0,26
S1888_out_5,-6.8,28.969,31.518,4,11
S1888_out_6,-6.8,29.032,30.625,1,15
S1888_out_7,-6.8,27.855,30.563,3,15
S1888_out_8,-6.8,28.959,31.226,1,13
S1888_out_9,-6.8,28.652,30.681,4,16
S1902_out_1,-7.3,0.0,0.0,7,18
S1902_out_2,-7.3,5.374,11.855,7,19
S1902_out_3,-7.2,3.778,7.396,7,19
S1902_out_4,-7.2,4.807,7.995,7,28
S1902_out_5,-6.9,3.645,7.436,7,31
S1902_out_6,-6.9,4.754,8.746,7,17
S1902_out_7,-6.9,30.409,36.471,7,37
S1902_out_8,-6.8,23.223,27.739,1,19
S1902_out_9,-6.8,22.232,27.715,7,48
S1941_out_1,-7.4,0.0,0.0,3,20
S1941_out_2,-6.9,2.553,6.002,4,20
S1941_out_3,-6.8,19.043,22.09,1,36
S1941_out_4,-6.7,2.403,4.991,4,20
S1941_out_5,-6.7,1.293,2.119,2,22
S1941_out_6,-6.5,2.736,7.991,4,23
S1941_out_7,-6.5,2.89,6.295,1,18
S1941_out_8,-6.5,2.657,4.01,5,14
S1941_out_9,-6.4,4.334,7.045,4,19
S1978_out_1,-6.8,0.0,0.0,3,14
S1978_out_2,-6.8,1.642,2.114,2,16
S1978_out_3,-6.6,1.712,3.226,2,22
S1978_out_4,-6.5,18.664,21.94,1,27
S1978_out_5,-6.4,9.456,11.51,3,16
S1978_out_6,-6.3,1.395,2.294,0,20
S1978_out_7,-6.3,2.393,6.35,2,10
S1978_out_8,-6.2,9.776,11.431,1,21
S1978_out_9,-6.0,2.02,2.739,1,19
S2069_out_1,-8.9,0.0,0.0,7,25
S2069_out_2,-8.7,2.211,6.541,6,17
S2069_out_3,-8.0,4.816,9.089,7,19
S2069_out_4,-7.7,4.207,8.224,2,26
S2069_out_5,-7.4,2.45,6.134,6,11
S2069_out_6,-7.3,2.167,6.602,6,19
S2069_out_7,-7.3,4.613,8.95,5,21
S2069_out_8,-7.2,3.789,7.902,4,13
S2069_out_9,-7.2,16.242,20.112,1,18
S2071_out_1,-8.1,0.0,0.0,2,11
S2071_out_2,-7.5,4.765,8.691,3,14
S2071_out_3,-7.5,4.488,9.582,4,14
S2071_out_4,-7.4,16.757,18.036,1,8
S2071_out_5,-7.4,18.056,21.196,6,8
S2071_out_6,-7.3,4.741,9.952,2,18
S2071_out_7,-7.3,4.197,5.983,5,12
S2071_out_8,-7.2,17.932,20.722,4,5
S2071_out_9,-7.2,20.361,23.615,2,18
S2099_out_1,-7.5,0.0,0.0,3,19
S2099_out_2,-6.7,16.084,20.008,4,17
S2099_out_3,-6.7,15.949,19.892,3,28
S2099_out_4,-6.6,16.387,19.249,3,29
S2099_out_5,-6.3,16.671,20.465,5,20
S2099_out_6,-6.2,29.404,31.978,4,24
S2099_out_7,-6.1,16.589,18.934,5,8
S2099_out_8,-6.1,2.904,4.695,1,22
S2099_out_9,-6.0,28.252,30.477,3,16
S2286_out_1,-7.6,0.0,0.0,3,32
S2286_out_2,-7.4,26.778,30.812,8,26
S2286_out_3,-7.3,25.349,33.226,3,19
S2286_out_4,-7.3,24.617,32.898,4,18
S2286_out_5,-7.2,2.342,7.097,3,19
S2286_out_6,-7.1,36.324,42.061,8,13
S2286_out_7,-7.1,39.628,43.127,6,31
S2286_out_8,-6.9,31.342,36.111,3,19
S2286_out_9,-6.9,29.215,34.387,2,18
S2318_out_1,-7.7,0.0,0.0,5,20
S2318_out_2,-7.5,20.368,24.824,4,14
S2318_out_3,-7.3,2.565,4.94,2,17
S2318_out_4,-7.3,2.805,5.349,4,25
S2318_out_5,-7.1,2.238,3.487,4,15
S2318_out_6,-7.0,30.993,36.347,1,16
S2318_out_7,-7.0,2.582,4.738,4,18
S2318_out_8,-6.9,1.4,2.43,1,19
S2318_out_9,-6.8,3.977,8.318,2,24
S2322_out_1,-7.6,0.0,0.0,1,16
S2322_out_2,-7.2,16.47,18.454,0,20
S2322_out_3,-7.0,11.147,12.159,1,17
S2322_out_4,-6.5,21.017,22.887,0,10
S2322_out_5,-6.3,17.143,18.917,1,27
S2322_out_6,-6.2,20.951,23.086,1,10
S2322_out_7,-6.0,21.032,22.568,0,8
S2322_out_8,-5.9,22.093,23.787,0,13
S2322_out_9,-5.8,21.304,22.764,1,10
S2338_out_1,-7.5,0.0,0.0,1,13
S2338_out_2,-7.4,2.595,3.938,0,12
S2338_out_3,-7.3,2.381,4.392,1,8
S2338_out_4,-7.3,1.483,1.945,0,19
S2338_out_5,-7.3,1.863,5.255,1,14
S2338_out_6,-7.2,18.314,20.52,0,24
S2338_out_7,-7.1,2.677,6.394,2,20
S2338_out_8,-6.7,1.84,5.91,2,14
S2338_out_9,-6.6,1.919,3.463,2,14
S2378_out_1,-6.5,0.0,0.0,1,18
S2378_out_2,-6.3,2.124,6.44,2,24
S2378_out_3,-6.2,1.864,2.376,0,21
S2378_out_4,-6.2,1.711,3.089,2,10
S2378_out_5,-6.2,18.569,22.127,2,31
S2378_out_6,-6.1,1.835,2.78,2,16
S2378_out_7,-6.1,18.49,21.295,0,21
S2378_out_8,-6.1,2.942,4.528,2,26
S2378_out_9,-6.0,2.72,7.461,0,25
S2387_out_1,-7.3,0.0,0.0,6,13
S2387_out_2,-7.3,1.887,4.441,4,16
S2387_out_3,-7.3,19.535,24.622,5,14
S2387_out_4,-7.1,19.46,22.068,6,8
S2387_out_5,-7.1,19.683,23.824,3,17
S2387_out_6,-7.0,2.234,5.019,2,12
S2387_out_7,-6.9,2.502,3.633,1,14
S2387_out_8,-6.8,29.452,31.61,2,15
S2387_out_9,-6.8,29.373,32.137,5,25
S2481_out_1,-7.5,0.0,0.0,6,27
S2481_out_2,-7.4,19.477,23.957,3,14
S2481_out_3,-7.4,18.78,23.163,1,26
S2481_out_4,-7.3,30.536,35.228,2,20
S2481_out_5,-7.1,2.457,5.634,3,23
S2481_out_6,-7.1,2.5,5.112,2,19
S2481_out_7,-7.0,1.575,4.062,1,25
S2481_out_8,-7.0,2.619,5.653,4,17
S2481_out_9,-7.0,30.726,35.062,0,31
S2482_out_1,-7.7,0.0,0.0,2,25
S2482_out_2,-7.0,28.115,31.996,1,24
S2482_out_3,-7.0,29.408,33.202,4,23
S2482_out_4,-6.9,28.475,31.452,4,19
S2482_out_5,-6.8,20.199,24.109,2,33
S2482_out_6,-6.8,7.539,11.468,1,9
S2482_out_7,-6.8,28.776,32.518,1,18
S2482_out_8,-6.8,2.23,3.698,1,17
S2482_out_9,-6.8,21.038,25.13,3,34
S2485_out_1,-7.0,0.0,0.0,3,27
S2485_out_2,-7.0,1.991,7.474,2,21
S2485_out_3,-6.7,1.878,7.69,1,21
S2485_out_4,-6.6,1.799,6.507,5,16
S2485_out_5,-6.5,2.705,7.471,2,24
S2485_out_6,-6.5,3.617,6.142,10,21
S2485_out_7,-5.9,14.918,15.995,9,20
S2485_out_8,-5.8,2.54,7.827,6,20
S2485_out_9,-5.7,2.31,4.882,3,7
S2497_out_1,-7.5,0.0,0.0,0,29
S2497_out_2,-7.5,4.6,7.073,1,22
S2497_out_3,-7.4,22.691,25.526,0,20
S2497_out_4,-7.4,28.166,33.145,1,29
S2497_out_5,-7.3,1.997,10.252,1,19
S2497_out_6,-7.3,31.393,33.859,0,19
S2497_out_7,-7.2,4.487,10.22,2,19
S2497_out_8,-7.2,32.056,33.522,1,21
S2497_out_9,-6.9,32.313,35.859,2,24
S2508_out_1,-7.3,0.0,0.0,4,11
S2508_out_2,-7.1,18.732,22.413,1,28
S2508_out_3,-7.0,2.446,6.927,2,17
S2508_out_4,-7.0,3.061,5.884,2,13
S2508_out_5,-6.9,2.332,6.131,1,15
S2508_out_6,-6.8,2.71,6.698,1,18
S2508_out_7,-6.7,9.774,10.959,4,16
S2508_out_8,-6.7,19.163,21.806,1,14
S2508_out_9,-6.6,19.221,23.2,2,27
S2547_out_1,-7.2,0.0,0.0,1,23
S2547_out_2,-6.9,1.709,2.709,1,16
S2547_out_3,-6.8,1.324,3.305,1,22
S2547_out_4,-6.6,1.978,4.153,0,15
S2547_out_5,-6.5,3.164,5.407,0,10
S2547_out_6,-6.2,2.177,4.124,0,18
S2547_out_7,-6.2,14.927,16.484,1,9
S2547_out_8,-6.2,19.701,22.501,0,27
S2547_out_9,-6.1,21.596,24.444,4,16
S2549_out_1,-8.5,0.0,0.0,1,32
S2549_out_2,-8.3,2.186,7.689,1,23
S2549_out_3,-8.1,1.291,3.648,0,32
S2549_out_4,-8.1,1.448,4.052,1,19
S2549_out_5,-8.0,1.851,3.383,2,16
S2549_out_6,-8.0,1.23,1.945,1,26
S2549_out_7,-7.9,1.378,2.602,1,22
S2549_out_8,-7.7,2.234,7.461,0,17
S2549_out_9,-7.6,21.639,24.508,2,25
S2564_out_1,-7.5,0.0,0.0,2,13
S2564_out_2,-7.4,19.121,22.311,1,25
S2564_out_3,-7.4,18.908,22.065,1,22
S2564_out_4,-7.3,19.367,22.435,0,28
S2564_out_5,-7.3,3.28,7.425,2,12
S2564_out_6,-7.1,2.945,7.597,3,15
S2564_out_7,-7.1,29.776,31.222,1,23
S2564_out_8,-7.0,18.74,21.519,4,7
S2564_out_9,-7.0,16.493,17.941,2,9
S2565_out_1,-8.2,0.0,0.0,3,8
S2565_out_2,-7.1,9.541,10.485,5,12
S2565_out_3,-7.0,19.714,22.646,4,22
S2565_out_4,-6.9,2.29,2.629,6,11
S2565_out_5,-6.8,2.109,2.799,5,9
S2565_out_6,-6.7,27.839,29.157,1,13
S2565_out_7,-6.7,19.16,21.748,4,18
S2565_out_8,-6.5,2.42,3.398,2,6
S2565_out_9,-6.5,20.574,22.713,7,13
S2581_out_1,-8.2,0.0,0.0,7,25
S2581_out_2,-7.9,1.408,2.333,7,20
S2581_out_3,-7.7,2.603,8.204,3,24
S2581_out_4,-7.6,9.14,11.029,2,23
S2581_out_5,-7.5,1.796,8.658,4,16
S2581_out_6,-7.4,1.991,8.605,3,22
S2581_out_7,-7.4,2.726,4.264,4,22
S2581_out_8,-7.3,9.272,11.083,2,19
S2581_out_9,-6.8,9.561,11.8,3,21
S2741_out_1,-8.5,0.0,0.0,2,19
S2741_out_2,-7.7,1.734,2.568,0,20
S2741_out_3,-7.5,2.75,3.836,0,20
S2741_out_4,-7.5,3.429,9.193,1,19
S2741_out_5,-7.4,5.462,8.626,1,18
S2741_out_6,-7.2,26.476,28.482,2,19
S2741_out_7,-7.1,5.581,8.732,2,15
S2741_out_8,-7.0,14.8,15.854,2,19
S2741_out_9,-7.0,19.905,23.451,1,27
S2762_out_1,-8.2,0.0,0.0,1,32
S2762_out_2,-8.1,29.148,31.958,1,32
S2762_out_3,-8.0,2.644,11.38,2,19
S2762_out_4,-7.9,27.144,30.546,0,34
S2762_out_5,-7.9,18.975,26.267,1,21
S2762_out_6,-7.9,28.505,31.103,3,25
S2762_out_7,-7.8,3.561,4.218,1,11
S2762_out_8,-7.5,3.63,11.434,1,12
S2762_out_9,-7.4,13.161,17.611,2,24
S2853_out_1,-8.2,0.0,0.0,5,28
S2853_out_2,-8.1,4.915,8.032,6,39
S2853_out_3,-8.0,3.004,5.731,6,39
S2853_out_4,-8.0,4.475,8.469,8,25
S2853_out_5,-7.9,3.967,7.646,4,33
S2853_out_6,-7.9,3.304,9.585,7,25
S2853_out_7,-7.9,2.434,6.05,6,34
S2853_out_8,-7.9,3.412,10.962,7,30
S2853_out_9,-7.9,2.162,3.417,6,23
S3002_out_1,-8.0,0.0,0.0,4,13
S3002_out_2,-7.4,1.547,1.987,1,21
S3002_out_3,-7.3,3.306,3.796,2,16
S3002_out_4,-7.1,2.213,2.619,2,8
S3002_out_5,-7.1,12.832,14.313,2,16
S3002_out_6,-7.0,7.29,12.069,1,29
S3002_out_7,-7.0,8.687,11.084,2,13
S3002_out_8,-6.9,6.027,11.047,3,12
S3002_out_9,-6.9,4.579,9.881,0,13
S3015_out_1,-7.7,0.0,0.0,1,7
S3015_out_2,-7.2,2.347,2.757,6,10
S3015_out_3,-6.8,2.555,3.654,5,5
S3015_out_4,-6.7,1.97,2.343,1,13
S3015_out_5,-6.7,3.627,4.499,3,6
S3015_out_6,-6.5,9.661,10.456,6,10
S3015_out_7,-6.4,15.591,17.208,5,3
S3015_out_8,-6.4,16.136,20.131,3,11
S3015_out_9,-6.3,15.844,20.228,3,8
S3033_out_1,-6.9,0.0,0.0,0,15
S3033_out_2,-6.4,1.402,2.155,0,14
S3033_out_3,-6.0,2.282,7.141,2,12
S3033_out_4,-5.9,28.201,29.195,3,16
S3033_out_5,-5.9,21.643,23.137,4,12
S3033_out_6,-5.9,19.375,22.142,1,18
S3033_out_7,-5.8,28.853,31.224,3,14
S3033_out_8,-5.8,28.454,29.561,2,6
S3033_out_9,-5.7,27.982,29.966,2,8
S3170_out_1,-8.2,0.0,0.0,2,18
S3170_out_2,-7.3,2.37,2.975,2,12
S3170_out_3,-7.1,28.034,28.974,4,19
S3170_out_4,-7.0,2.821,8.243,1,18
S3170_out_5,-6.9,2.669,3.41,1,18
S3170_out_6,-6.9,3.848,5.496,2,12
S3170_out_7,-6.9,17.084,21.585,7,10
S3170_out_8,-6.8,2.764,7.773,1,12
S3170_out_9,-6.8,2.972,3.673,4,12
S3179_out_1,-8.2,0.0,0.0,7,15
S3179_out_2,-8.0,1.759,2.677,3,8
S3179_out_3,-7.4,2.78,3.801,6,21
S3179_out_4,-7.3,2.301,3.359,5,8
S3179_out_5,-7.1,2.713,3.414,5,20
S3179_out_6,-7.0,2.671,3.861,2,13
S3179_out_7,-7.0,5.135,7.283,4,9
S3179_out_8,-6.8,10.258,11.278,5,12
S3179_out_9,-6.7,27.978,29.707,6,12
S3193_out_1,-6.5,0.0,0.0,8,6
S3193_out_2,-6.1,3.042,8.084,5,2
S3193_out_3,-6.0,24.076,26.039,5,9
S3193_out_4,-5.9,30.266,31.759,6,6
S3193_out_5,-5.9,24.195,26.221,5,8
S3193_out_6,-5.8,30.611,32.03,6,10
S3193_out_7,-5.8,15.409,17.848,4,9
S3193_out_8,-5.8,18.588,20.237,1,10
S3193_out_9,-5.7,30.259,31.566,3,8
S3195_out_1,-8.1,0.0,0.0,2,23
S3195_out_2,-7.9,9.867,10.697,4,16
S3195_out_3,-7.8,10.836,13.184,2,14
S3195_out_4,-7.7,9.797,11.78,3,11
S3195_out_5,-7.7,9.317,10.11,7,15
S3195_out_6,-7.6,9.616,11.291,8,10
S3195_out_7,-7.4,9.444,12.036,2,12
S3195_out_8,-7.3,9.633,11.241,0,18
S3195_out_9,-7.3,23.715,25.355,5,13
S3202_out_1,-7.2,0.0,0.0,4,13
S3202_out_2,-7.0,2.609,4.403,3,21
S3202_out_3,-6.9,1.873,2.629,2,10
S3202_out_4,-6.8,2.453,4.43,1,13
S3202_out_5,-6.7,15.247,17.132,3,15
S3202_out_6,-6.6,26.438,28.983,1,17
S3202_out_7,-6.5,3.796,5.358,2,12
S3202_out_8,-6.5,35.305,37.339,0,31
S3202_out_9,-6.4,9.096,10.519,1,11
S3637_out_1,-8.3,0.0,0.0,4,16
S3637_out_2,-8.2,2.539,9.852,5,20
S3637_out_3,-8.0,2.429,3.262,3,20
S3637_out_4,-7.9,1.02,1.944,1,12
S3637_out_5,-7.6,17.525,20.65,2,14
S3637_out_6,-7.5,10.853,12.59,3,20
S3637_out_7,-7.4,9.516,11.203,6,18
