Ligand,Affinity,RMSD Ligand,RMSD Receptor,H_bond,D_bond
S1021_out_1,-8.5,0.0,0.0,4,20
S1021_out_2,-8.1,1.592,1.925,2,19
S1021_out_3,-7.8,9.345,12.167,1,20
S1021_out_4,-7.8,13.727,14.867,2,19
S1021_out_5,-7.6,2.965,5.163,2,18
S1021_out_6,-7.6,3.771,11.17,4,9
S1021_out_7,-7.5,3.919,11.201,3,18
S1021_out_8,-7.4,4.636,7.247,1,18
S1021_out_9,-7.3,19.226,26.026,1,13
S1098_out_1,-8.6,0.0,0.0,3,26
S1098_out_2,-8.2,4.129,6.847,2,19
S1098_out_3,-8.1,12.17,13.189,2,20
S1098_out_4,-7.7,6.475,8.991,3,13
S1098_out_5,-7.5,2.712,3.919,1,14
S1098_out_6,-7.3,21.553,25.179,2,23
S1098_out_7,-7.3,5.228,7.452,2,14
S1098_out_8,-7.3,1.952,2.706,1,16
S1098_out_9,-7.2,5.09,7.784,1,15
S1183_out_1,-8.6,0.0,0.0,4,16
S1183_out_2,-8.6,21.707,25.56,2,21
S1183_out_3,-8.4,3.213,8.017,9,16
S1183_out_4,-8.3,22.576,25.86,7,23
S1183_out_5,-7.9,22.233,27.228,3,15
S1183_out_6,-7.8,20.589,24.252,2,19
S1183_out_7,-7.7,21.595,24.599,4,22
S1183_out_8,-7.7,6.298,10.021,2,23
S1183_out_9,-7.6,22.698,26.565,7,19
S1197_out_1,-8.2,0.0,0.0,0,14
S1197_out_2,-7.9,2.06,8.544,1,15
S1197_out_3,-7.3,27.867,29.982,1,21
S1197_out_4,-7.1,19.688,22.63,1,15
S1197_out_5,-7.0,2.888,8.483,1,11
S1197_out_6,-6.8,27.474,30.087,3,10
S1197_out_7,-6.8,28.396,29.797,1,24
S1197_out_8,-6.8,5.923,8.932,2,10
S1197_out_9,-6.7,28.44,30.399,0,18
S1202_out_1,-10.2,0.0,0.0,0,24
S1202_out_2,-9.6,5.578,10.142,1,19
S1202_out_3,-9.4,4.624,8.833,1,17
S1202_out_4,-9.3,3.14,4.528,2,19
S1202_out_5,-9.2,3.137,5.243,1,11
S1202_out_6,-9.1,4.881,8.93,2,15
S1202_out_7,-9.1,5.233,9.297,2,21
S1202_out_8,-8.9,4.59,8.995,2,22
S1202_out_9,-8.8,4.998,7.264,0,22
S1284_out_1,-7.7,0.0,0.0,5,19
S1284_out_2,-7.6,1.813,5.714,2,24
S1284_out_3,-7.5,2.292,5.37,4,31
S1284_out_4,-7.3,2.569,5.514,1,21
S1284_out_5,-7.1,2.611,5.821,2,25
